
--- Starting Training ---

global_step=512, episodic_return=-5.678437348575006
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=576, episodic_return=-2.9526317482999325
global_step=576, episodic_return=-1.6512672274755567
global_step=576, episodic_return=-3.049712912162028
global_step=576, episodic_return=-1.3951823880721816
global_step=640, episodic_return=-4.008581592210345
global_step=640, episodic_return=-5.3301618914002145
global_step=704, episodic_return=-4.1666706260379325
global_step=704, episodic_return=-2.3603141270325567
global_step=768, episodic_return=-9.447720846433183
global_step=768, episodic_return=0.7886709098970498
global_step=768, episodic_return=-1.7336155868328145
global_step=768, episodic_return=-4.360246336838024
global_step=768, episodic_return=-5.462868148430344
global_step=832, episodic_return=-5.544999415697191
global_step=832, episodic_return=-7.035132904194955
global_step=832, episodic_return=1.1887981575595608
global_step=832, episodic_return=0.008515790706946746
global_step=832, episodic_return=0.24519863882975312
global_step=896, episodic_return=-1.6117581595621275
global_step=896, episodic_return=-1.1288843144146696
global_step=896, episodic_return=1.3554870013061964
global_step=896, episodic_return=-1.002357494114562
global_step=896, episodic_return=-2.358483201917983
global_step=960, episodic_return=0.5632770949302253
global_step=1024, episodic_return=-0.45406072168619604
global_step=1088, episodic_return=4.014861606385865
global_step=1088, episodic_return=-1.2501366907789777
global_step=1088, episodic_return=4.277020789434043
global_step=1088, episodic_return=-3.2862506480113782
global_step=1152, episodic_return=-9.9477162108032
global_step=1152, episodic_return=-4.115568778299925
global_step=1152, episodic_return=3.635413994288845
global_step=1216, episodic_return=-4.031324912502981
global_step=1216, episodic_return=-2.5256507347865176
global_step=1216, episodic_return=-7.38364993552268
global_step=1216, episodic_return=-2.4210207943624864
global_step=1216, episodic_return=-3.979030807390459
global_step=1280, episodic_return=7.05140250064853
global_step=1280, episodic_return=-8.744134582659244
global_step=1344, episodic_return=-5.03972139541394
global_step=1344, episodic_return=-3.9556882960857918
global_step=1344, episodic_return=-2.012518654486845
