global_step=160, return=-0.8140301147300375
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=208, return=2.98467242754664
global_step=240, return=0.6842954744203336
global_step=256, return=1.3126890150675212
global_step=256, return=1.4016133286335346
global_step=272, return=-7.498235132472514
global_step=288, return=-5.010995245384766
global_step=304, return=5.526555175105457
global_step=320, return=6.559777831964562
global_step=352, return=-1.5442245757151043
global_step=368, return=-8.477129881883288
global_step=384, return=-2.9836068523044394
global_step=400, return=12.103979861466742
global_step=400, return=11.482094494975781
global_step=448, return=-2.575407492648706
global_step=464, return=-5.030291721459833
global_step=464, return=-0.36273426518733864
global_step=464, return=9.85122725412196
global_step=480, return=-2.6227258428025757
global_step=544, return=-3.151421023565569
global_step=544, return=-6.365930112227101
global_step=592, return=2.6587982334582523
global_step=608, return=-1.5545189119702574
global_step=608, return=-2.7038918606650233
global_step=640, return=-5.810153707992604
global_step=656, return=-5.959994579479162
global_step=672, return=-0.9503337137174923
global_step=720, return=-1.2344579831067302
global_step=720, return=2.969881591743128
global_step=768, return=6.068188029110185
global_step=768, return=-3.02700904355215
global_step=800, return=-4.396788852337584
global_step=832, return=5.49492393135229
global_step=832, return=-2.847562066036825
global_step=832, return=-3.755226858130441
global_step=848, return=2.2954508404360934
global_step=864, return=-5.551560039149651
global_step=880, return=-7.890951251569156
global_step=912, return=-1.8768639531185278
global_step=928, return=16.153902178962372
global_step=944, return=-11.37322217732943
global_step=976, return=7.2688562287156655
global_step=1024, return=-2.4902411657446355
global_step=1040, return=1.1456464637501518
global_step=1056, return=1.0686892421311227
global_step=1072, return=-4.27595523303267
global_step=1136, return=-2.7904063966903303
global_step=1136, return=6.801606255349779
global_step=1136, return=-6.4900347282232485
global_step=1136, return=-3.303543196013183
global_step=1152, return=-5.274986448975956
global_step=1152, return=-4.803432990519528
global_step=1184, return=-3.7166281808200594
global_step=1184, return=-4.773622668753605
global_step=1184, return=0.058401407145468376
global_step=1200, return=8.66699450983189
global_step=1248, return=-0.4119620864247736
global_step=1312, return=-1.1003379817808734
global_step=1328, return=-0.2688375866860617
global_step=1328, return=-6.335728588601327
global_step=1328, return=-3.6497298090988917
global_step=1360, return=3.3895738762705667
global_step=1360, return=-5.590814417565035
global_step=1360, return=18.031901367433736
global_step=1392, return=-0.3657549334027572
global_step=1408, return=-2.3261084982523172
global_step=1456, return=2.850697516470691
global_step=1456, return=2.9093497959217105
global_step=1536, return=-3.664982437449267
global_step=1536, return=-6.098765134178069
global_step=1552, return=2.5423589741181183
global_step=1552, return=5.543241778401306
global_step=1568, return=-5.021801424245039
global_step=1584, return=6.846696685291283
global_step=1600, return=-4.4556139956787035
global_step=1616, return=-1.7268933968970908
global_step=1648, return=0.5415189525787061
global_step=1648, return=2.3954424187407257
global_step=1680, return=11.801783086533856
global_step=1680, return=11.414254254253752
global_step=1696, return=-6.440695313897279
global_step=1776, return=-0.947006108859061
global_step=1824, return=-0.4724320089873293
global_step=1824, return=-6.585520399022755
global_step=1840, return=2.247223866597009
global_step=1840, return=-7.0789921212122735
global_step=1904, return=3.4102065570788276
global_step=1904, return=15.75468429511513
global_step=1920, return=-2.468928731111334
global_step=1936, return=-11.072362557525395
global_step=1936, return=-5.06991839412628
global_step=1936, return=-4.119172790603141
global_step=1952, return=-3.2138020236423053
global_step=1984, return=-0.5364844065842025
global_step=1984, return=-3.6600941643474325
global_step=2016, return=-2.580551923046031
global_step=2016, return=-3.2698108165871265
global_step=2032, return=4.610434921201506
global_step=2032, return=-1.138865811196613
global_step=2032, return=-5.148988933585857
SPS: 687
global_step=2064, return=-3.735949005128929
global_step=2064, return=-1.2446772491464428
global_step=2064, return=-4.870514772391422
global_step=2080, return=-2.327996492948748
global_step=2208, return=-1.7140644086246168
global_step=2208, return=-4.109430447780266
global_step=2256, return=-8.046280945976747
global_step=2256, return=4.213334300234804
global_step=2256, return=1.6505949022952442
global_step=2272, return=-0.45898048698164584
global_step=2320, return=-7.950659535226032
global_step=2336, return=4.346972733565317
global_step=2368, return=2.257937632177063
global_step=2384, return=-3.422067588582255
global_step=2464, return=-4.804642540149416
global_step=2480, return=-0.7131031024763783
global_step=2480, return=-5.480254990106732
global_step=2496, return=-4.642740544518812
global_step=2496, return=2.5831128203020888
global_step=2528, return=-7.695623103542804
global_step=2576, return=-6.141793304810688
global_step=2576, return=4.460279650219553
global_step=2592, return=1.5388321818192243
global_step=2592, return=4.451495674464454
global_step=2608, return=-3.2306390075407463
global_step=2640, return=-5.888517618196344
global_step=2656, return=-3.530935215943339
global_step=2656, return=-1.689405938189627
global_step=2656, return=-7.301327917505392
global_step=2672, return=4.85125849497169
global_step=2752, return=-4.988099476929419
global_step=2768, return=0.35952350878403716
global_step=2784, return=-3.4292468996711074
global_step=2784, return=8.49364382609189
global_step=2816, return=-1.1130195388614865
global_step=2832, return=5.19194969920241
global_step=2832, return=22.677482297053746
global_step=2848, return=-1.2048726609091105
global_step=2848, return=-0.06779660710791502
global_step=2848, return=-7.389156795297371
global_step=2848, return=7.382305107539476
global_step=2848, return=-3.018334192613203
global_step=2896, return=-4.554494048061704
global_step=2896, return=-1.7140081257804485
global_step=2896, return=-3.706978088128589
global_step=2960, return=-6.091943049146599
global_step=2992, return=-5.898040975300993
global_step=3008, return=1.6047444298226874
global_step=3008, return=-1.2550624807683906
global_step=3024, return=-4.527819515545043
global_step=3056, return=-4.65842979329979
global_step=3056, return=-4.428927088843485
global_step=3104, return=0.1594041932586696
global_step=3104, return=-3.187722958561301
global_step=3104, return=-1.992986960525713
global_step=3136, return=-1.3614243575549434
global_step=3152, return=-5.328527130348633
global_step=3152, return=-1.54686126114318
global_step=3184, return=0.21064098487743
global_step=3216, return=-5.165450602692933
global_step=3216, return=-5.812384568864341
global_step=3264, return=0.5728310078686991
global_step=3264, return=-0.5788086783335307
global_step=3328, return=2.401531754913176
global_step=3344, return=0.4549165575762818
global_step=3360, return=0.4473385805150101
global_step=3376, return=-2.696111156762929
global_step=3376, return=-0.103784921440642
global_step=3392, return=-0.7813906419327157
global_step=3424, return=-3.6018240445547067
global_step=3424, return=0.4285078692820401
global_step=3440, return=-0.13335248574141756
global_step=3472, return=-4.568505642520945
global_step=3504, return=4.948977347955688
global_step=3504, return=7.266690843029005
global_step=3552, return=-3.106483245459354
global_step=3600, return=-7.2680055629969225
global_step=3616, return=-0.6692117967816904
global_step=3616, return=-5.965941987570524
global_step=3616, return=4.089134897944388
global_step=3616, return=16.273775850170644
global_step=3632, return=0.09939119516227479
global_step=3664, return=-2.553231203749876
global_step=3680, return=1.5144824242997725
global_step=3696, return=1.6031994469600799
