global_step=512, return=-7.502445176773103
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=640, return=-0.2660248507369338
global_step=640, return=-2.3950709118537583
global_step=640, return=-2.245961268572601
global_step=704, return=-6.1808400682277185
global_step=704, return=-4.741973800966857
global_step=704, return=-4.310549776864725
global_step=704, return=-2.0674623650631476
global_step=768, return=-0.9671119492684614
global_step=768, return=-4.003832211371739
global_step=768, return=-2.635833336518433
global_step=768, return=-3.5698685454037458
global_step=768, return=1.9006376650024628
global_step=832, return=-1.8588492771248109
global_step=832, return=-0.9129214333173241
global_step=832, return=-3.9176465439215975
global_step=832, return=-1.9158225358334628
global_step=832, return=-4.240797926993066
global_step=896, return=0.21076892460378782
global_step=896, return=-1.2740981342009825
global_step=896, return=-6.731525314336913
global_step=896, return=1.6461720155847748
global_step=896, return=4.145550118715843
global_step=896, return=-1.0516960274224731
global_step=960, return=-2.5442308928210053
global_step=960, return=-5.8206599519280315
global_step=960, return=0.0550283167793415
global_step=960, return=-2.6168616025506393
global_step=1024, return=-1.8317440143497725
global_step=1024, return=-6.379146168138508
global_step=1024, return=-6.958947978418685
global_step=1024, return=-5.63661075651079
global_step=1024, return=-3.361793924219322
global_step=1024, return=-1.52663706945031
global_step=1088, return=0.7023058492972007
global_step=1088, return=4.214817970523752
global_step=1088, return=-3.75176116338316
global_step=1088, return=4.759297653386681
global_step=1152, return=-6.104579053234319
global_step=1152, return=-4.667081065496269
global_step=1152, return=-0.962925553448241
global_step=1216, return=-3.764810372289908
global_step=1216, return=-5.023080259183255
global_step=1216, return=-2.2760844330366243
global_step=1280, return=4.8754519098424005
global_step=1344, return=-5.660442806812884
global_step=1408, return=4.8717624718402535
global_step=1408, return=-2.0830316905347246
global_step=1408, return=5.93757579209365
global_step=1472, return=1.0171772921689035
global_step=1472, return=0.6752407183231971
global_step=1536, return=13.440099555701671
global_step=1536, return=-7.54678291749695
global_step=1536, return=6.72430857329734
global_step=1536, return=15.347069905511924
global_step=1600, return=-1.6694058020212823
global_step=1600, return=-4.641872907214261
global_step=1600, return=-4.435319942687446
global_step=1664, return=-2.8836519792494544
global_step=1664, return=-3.061698013438476
global_step=1728, return=1.2741673821821131
global_step=1728, return=-3.825700526747852
global_step=1792, return=-3.475536299327329
global_step=1792, return=11.819131824110842
global_step=1792, return=-2.7201565701235486
global_step=1856, return=-6.316178303375582
global_step=1856, return=0.7558148061867054
global_step=1856, return=8.84463464638886
global_step=1856, return=-3.5014330307062504
global_step=1920, return=-4.255230469011273
global_step=1920, return=4.396190005056892
global_step=1920, return=13.686301795744194
global_step=1920, return=-8.437270811284682
global_step=1920, return=1.83347025308663
